cop	version	category	risk	description
Bundler/GemComment	1.88.0	Changes	LOW-rename	Rename inconsistently named cop parameters to follow RuboCop's conventions (the old names are deprecated but still work): `Bundler/GemComment`'s `IgnoredGems` to `AllowedGems`, `Lint/NumberConversion`'s `IgnoredClasses` to `AllowedClasses`, `Lint/MissingCopEnableDirective`'s `MaximumRangeSize` to `MaxRangeSize`, `Metrics/CollectionLiteralLength`'s `LengthThreshold` to `Max`, and `Style/FetchEnvVar`'s `AllowedVars` to `AllowedVariables`.
Bundler/GemComment	1.88.1	Bug fixes	HIGH-crash/hang	Fix a crash for `Bundler/GemComment` with a non-literal gem option key.
Bundler/OrderedGems	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Bundler/OrderedGems` and `Gemspec/OrderedDependencies` when the last declaration has no trailing newline, which joined two declarations into a single line.
Bundler/OrderedGems	1.91.0	Changes	LOW-other	Disable `Style/IfUnlessModifier`, `Style/GuardClause`, `Style/Next`, `Style/ClassAndModuleChildren`, `Style/DoubleNegation`, `Style/NumericPredicate`, `Style/SpecialGlobalVars`, `Style/PerlBackrefs`, `Style/FrozenStringLiteralComment`, `Style/FormatStringToken`, `Style/FormatString`, `Style/RegexpLiteral`, `Style/SignalException`, `Style/Lambda`, `Style/ParallelAssignment`, `Style/RaiseArgs`, `Style/ModuleFunction`, `Style/BlockDelimiters`, `Style/NumericLiterals`, `Style/NegatedIf`, `Naming/VariableNumber`, `Naming/HeredocDelimiterNaming`, `Layout/EmptyLineAfterGuardClause` and `Bundler/OrderedGems` under `Preview`, ahead of them being disabled by default in RuboCop 2.0.
Gemspec/DevelopmentDependencies	1.88.1	Bug fixes	HIGH-crash/hang	Fix a crash for `Gemspec/DevelopmentDependencies` when `AllowedGems` is nil.
Gemspec/DuplicatedAssignment	1.88.2	Bug fixes	MED-fp/fn	Fix a false positive for `Gemspec/DuplicatedAssignment` with multiple specifications.
Gemspec/OrderedDependencies	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Bundler/OrderedGems` and `Gemspec/OrderedDependencies` when the last declaration has no trailing newline, which joined two declarations into a single line.
Gemspec/RequireMFA	1.86.2	Bug fixes	HIGH-crash/hang	Fix incorrect autocorrect for `Gemspec/RequireMFA` causing an infinite loop when `rubygems_mfa_required` metadata uses a symbol key.
Gemspec/RequireMFA	1.88.1	Bug fixes	HIGH-crash/hang	Fix an infinite loop for `Gemspec/RequireMFA` with multiple specifications.
Layout/AccessModifierIndentation	1.88.2	Bug fixes	MED-fp/fn	Fix a false positive for `Layout/CommentIndentation` with a comment above an inline access modifier (e.g. `private def foo`) when `Layout/AccessModifierIndentation` is configured with `EnforcedStyle: outdent`.
Layout/ArgumentAlignment	1.90.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop error for `Layout/FirstArgumentIndentation` when `EnforcedStyle: with_fixed_indentation` is specified for `Layout/ArgumentAlignment` and `Layout/FirstMethodArgumentLineBreak` is enabled with `AllowMultilineFinalElement: true`.
Layout/ArgumentAlignment	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop between `Layout/ArgumentAlignment` and `Layout/HashAlignment` with separator style.
Layout/ArgumentAlignment	1.91.0	Changes	LOW-other	Set the community-preferred `EnforcedStyle` of `Style/StringLiterals`, `Style/StringLiteralsInInterpolation`, `Layout/CaseIndentation`, `Layout/EndAlignment`, `Layout/MultilineMethodCallIndentation`, `Layout/MultilineOperationIndentation`, `Layout/FirstHashElementIndentation`, `Layout/FirstArrayElementIndentation`, `Layout/ParameterAlignment`, `Layout/ArgumentAlignment`, `Style/EmptyMethod`, `Style/Alias`, `Style/RescueStandardError` and `Style/TernaryParentheses` under `Preview`, ahead of them becoming the defaults in RuboCop 2.0.
Layout/ArrayAlignment	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop error for `Layout/FirstArrayElementIndentation` with `Layout/ArrayAlignment` when `EnforcedStyle: with_fixed_indentation` is configured.
Layout/BlockAlignment	1.88.0	Bug fixes	MED-fp/fn	Fix a false positive for `Layout/BlockAlignment` with `EnforcedStyleAlignWith: start_of_line` when a block is passed as a method argument.
Layout/BlockAlignment	1.88.0	Bug fixes	MED-fp/fn	Fix false positives in `Layout/BlockAlignment` when there is a line break between method arguments before the block.
Layout/BlockAlignment	1.88.1	Bug fixes	MED-fp/fn	Fix false positives for `Layout/BlockAlignment` when `EnforcedStyleAlignWith: start_of_block` is used and `do` is on a continuation line of a parenthesisless multiline method call.
Layout/CaseIndentation	1.91.0	Changes	LOW-other	Set the community-preferred `EnforcedStyle` of `Style/StringLiterals`, `Style/StringLiteralsInInterpolation`, `Layout/CaseIndentation`, `Layout/EndAlignment`, `Layout/MultilineMethodCallIndentation`, `Layout/MultilineOperationIndentation`, `Layout/FirstHashElementIndentation`, `Layout/FirstArrayElementIndentation`, `Layout/ParameterAlignment`, `Layout/ArgumentAlignment`, `Style/EmptyMethod`, `Style/Alias`, `Style/RescueStandardError` and `Style/TernaryParentheses` under `Preview`, ahead of them becoming the defaults in RuboCop 2.0.
Layout/ClassStructure	1.88.1	Bug fixes	HIGH-crash/hang	Fix a crash for `Layout/ClassStructure` when a class body is a single safe-navigation call (e.g. `test&.private_methods(def foo; end)`).
Layout/ClassStructure	1.89.0	Bug fixes	MED-fp/fn	Fix false negatives in `Layout/ClassStructure` when class body elements are wrapped in `begin` blocks.
Layout/ClassStructure	1.89.0	Bug fixes	MED-fp/fn	Fix false negatives in `Layout/ClassStructure` when using `private_class_method` or `public_class_method` def modifiers.
Layout/ClassStructure	1.90.0	Bug fixes	LOW-other	Fix `Layout/ClassStructure` autocorrection producing a wrong order when an element cannot be moved, and make offenses report the category that actually blocks the expected order.
Layout/ClosingParenthesisIndentation	1.86.2	Bug fixes	LOW-other	"Fix incorrect ""does not support IndentationWidth parameter"" warning for `Layout/ClosingParenthesisIndentation` and `Layout/CommentIndentation`."
Layout/CommentIndentation	1.86.2	Bug fixes	LOW-other	"Fix incorrect ""does not support IndentationWidth parameter"" warning for `Layout/ClosingParenthesisIndentation` and `Layout/CommentIndentation`."
Layout/CommentIndentation	1.88.2	Bug fixes	MED-fp/fn	Fix a false positive for `Layout/CommentIndentation` with a comment above an inline access modifier (e.g. `private def foo`) when `Layout/AccessModifierIndentation` is configured with `EnforcedStyle: outdent`.
Layout/CommentIndentation	1.91.0	Bug fixes	HIGH-crash/hang	Fix an infinite loop error for `Layout/CommentIndentation` when many comment blocks with the same indentation are separated by empty lines.
Layout/ConditionPosition	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Layout/ConditionPosition` that dropped a body statement sharing the condition's line via a semicolon.
Layout/ElseAlignment	1.88.2	Bug fixes	MED-fp/fn	Fix false positives in `Layout/ElseAlignment` when using `else` within a block that is part of a larger expression.
Layout/ElseAlignment	1.91.0	Bug fixes	HIGH-crash/hang	Fix an error for `Layout/ElseAlignment` when `else` is used with `rescue` in a `class`, `module`, or singleton class body.
Layout/EmptyComment	1.88.1	Bug fixes	HIGH-autocorrect	Fix an incorrect autocorrect for `Layout/EmptyComment` that deleted a heredoc when removing an empty comment trailing its opener.
Layout/EmptyLineAfterGuardClause	1.86.0	Bug fixes	MED-fp/fn	Fix false positives in `Layout/EmptyLineAfterGuardClause` when using a guard clause followed by a multi-line guard clause with `raise`, `fail`, `return`, `break`, or `next`.
Layout/EmptyLineAfterGuardClause	1.86.1	Bug fixes	MED-fp/fn	Fix false positives for `Layout/EmptyLineAfterGuardClause` when consecutive guard clauses use `and return`.
